position	college_grad
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	yes
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
do not know	no
